Artist,Genre
tommaso paradiso,pop
tool,Progressive metal
toothgrinder,Progressive metal
toy dolls,punk
train,rock
transplants,punk
trapdoor social,indie
trapt,rock
trela,rock
tremonti,alternative metal
trivium,metalcore
trust,synthpop
trust company,alternative rock
turisas,folk metal
turnover,pop punk
twelve foot ninja,alternative metal
twenty one two,pop punk
twin pumpkin,indie
twisted sister,hard rock
two door cinema club,indie
two feet,indie
týr,folk metal
u2,rock
ugly kid joe,hard rock
underoath,screamo
unprocessed,Progressive metal
vampire weekend,indie
van halen,hard rock
vance joy,folk
vasco da gama,heavy metal
velvet revolver,hard rock
vespas mandarinas,rock
vesuvius,hard rock
viagra boys,post-punk
vikings,heavy metal
village people,Disco
violent new breed,rock
violet soda,rock
vivendo do ócio,indie
vundabar,indie rock
war,funk
warlock,heavy metal
warrant,hard rock
waterparks,pop punk
we are harlot,hard rock
we the kings,pop punk
weezer,rock
weighbridge,australian
weird al yankovic,comedy
wham,80s
wheatus,rock
while she sleeps,metalcore
whiplash,thrash metal
white reaper,Garage Punk
whitesnake,hard rock
wild cherry,funk
wildstreet,hard rock
wind rose,Power metal
within temptation,symphonic metal
wolfmother,rock
written by wolves,alternative rock
x ambassadors,indie
yellowcard,punk rock
yerba brava,cumbia
yngwie malmsteen,guitar virtuoso
yonaka,indie rock
you me at six,pop punk
young guns,alternative rock
young the giant,indie rock
youngblood hawke,indie
younger hunger,alternative
your broken hero,emo
youth,dub
yungblud,indie rock
zsk,punk
zz top,classic rock
zac brown band,country
zander,hardcore
zebrahead,punk rock
zimbra,alternative
[spunge],ska
qbo,Nu Metal
ария,heavy metal
би-2,russian
звери,russian
земфира,russian
калевала,folk metal
король и шут,punk rock
любэ,russian
мастер,thrash metal
мураками,rock
муслим магомаев,Retro
океан ельзи,Ukrainian
отава ё,folk
папин олимпос,indie
полматери,black metal
пасош,Lo-Fi
порнофильмы,punk rock
слот,alternative
элизиум,ska punk
††† (crosses),electronic
+44,punk rock
3 doors down,alternative rock
30 seconds to mars,rock
311,rock
5 seconds of summer,pop punk
a day to remember,hardcore
a perfect circle,Progressive rock
acdc,classic rock
afi,punk rock
aka george,electronic
axty,DJENT
accept,hard rock
adelitas way,hard rock
adema,rock
aerosmith,classic rock
against me!,folk punk
against the current,rock
airbourne,rock
akado,visual kei
alestorm,pirate metal
alffa,british
aliados,brazil
alice cooper,classic rock
alice in chains,rock
alien ant farm,alternative rock
all american rejects,punk rock
all that remains,Melodic Death Metal
all time low,rock
all the postcards,brazil
allison,rock
alt-j,electronic
alter bridge,alternative rock
amaranthe,Power metal
amatory,alternative
american authors,indie rock
american avenue,punk rock
american hi-fi,punk rock
amy winehouse,jazz
anacondaz,underground hip-hop
anarbor,rock
andrew w. k.,party metal
andrew watt,alternative
andy black,alternative rock
andy grammer,singer-songwriter
angels & airwaves,rock
angie,electropop
ankor,Power metal
annisokay,metalcore
anouk,female vocalist
anthrax,metal
anti-flag,punk rock
apocalyptica,instrumental
april wine,hard rock
architects,mathcore
arctic monkeys,indie
aretha franklin,female vocalist
armin van buuren,electronic
art of dying,hard rock
art of anarchy,Grunge
as i may,metal
asking alexandria,metalcore
aston merrygold,british
aterciopelados,Rock en Espanol
atlantida project,russian
atreyu,hardcore
audioslave,alternative rock
aurthohin,bangladesh
autoramas,rock
avenged sevenfold,metal
averse,black metal
avril lavigne,pop rock
awolnation,indie
bb king,jazz
bones uk,alternative rock
brvnks,brazil
btrx,alternative rock
babamania,japanese
bad 4 good,rock
bad omens,post-hardcore
bad religion,punk rock
bad wolves,alternative metal
badflower,alternative rock
baha men,pop
barns courtney,singer-songwriter
baroness,Progressive metal
barrett strong,motown
beartooth,metalcore
beast in black,heavy metal
beastie boys,rap
bee gees,pop
beginners,rock
ben e king,60s
benny goodman,swing
betzefer,groove metal
beware of darkness,alternative
beyond the black,Power metal
beyond unbroken,post-hardcore
big data,american
bikini kill,punk
bill conti,composer
billie joe armstrong,punk rock
billy idol,80s
billy ocean,pop
bishop briggs,british
biting elbows,indie rock
black coffee,jazz
black days,metalcore
black eyed peas,pop
black label society,metal
black light burns,industrial
black pistol fire,Garage Rock
black rain,industrial
black rebel motorcycle club,indie rock
black sabbath,hard rock
black smoke trigger,hard rock
black star riders,classic rock
black stone cherry,Southern Rock
black veil brides,screamo
blackberry smoke,blues rock
blacklite district,modern rock
blake shelton,modern country
bleeker,alternative
blind guardian,speed metal
blind pigs,punk
blink-182,pop punk
blondie,80s
bloodywood,Indian
blossoms,indie
blue stahli,electronic
blue swede,rock
blues pills,Psychedelic Rock
blues saraceno,instrumental
blues traveler,rock
blur,rock
bob bradley,songwriter
body count,rapcore
boikot,punk
bon jovi,hard rock
bonnie tyler,pop
bowling for soup,punk rock
boxcar racer,punk rock
boys like girls,alternative
brand new,rock
brantley gilbert,male vocalists
breaking benjamin,rock
breakout,polish
bring me the horizon,metalcore
britney spears & deftones,trashpop
britney spears,dance
brody dalle,female vocalist
bruno mars,rnb
brutto,Belarusian
buckcherry,rock
buckethead,instrumental
bullet bane,melodic hardcore
bullet for my valentine,metal
bury tomorrow,melodic metalcore
bush,rock
cpm 22,rock
crx,indie rock
csi,italian
cab calloway,swing
caesars,rock
cage the elephant,alternative
caju e castanha,brazil
cake,rock
calva louise,alternative rock
cam cole,british
caméléon,french hard rock
caparezza,rap
capital cities,indie
capital inicial,brazil
captives,alternative rock
carl carlton,soul
casey edwards,american
cassia,indie
cassia eller,rock
cefa,experimental
chameleon,techno
charles mingus,bebop
charlie brown jr,rock
chase & status and blossoms,electronic
cherri bomb,alternative rock
chester bennington,rock
chevelle,rock
chic,funk
chubby checker,60s
chuck berry,classic rock
cinderella,Glam Metal
citizen zero,United States
cleopatrick,Garage Rock
clutch,hard rock
comeback kid,melodic hardcore
counting crows,alternative
cracker blues,Southern Rock
crash kings,piano rock
creed,alternative rock
creedence clearwater revival,rock
crown the empire,electronic
crucified barbara,heavy metal
cry excess,alternative metal
cryptic fate,Bangla Metal
crystal palace,germany
cult to follow,alternative rock
d-a-d,rock
diamante,rock
dan croll,indie
dandy warhols,dream pop
dangerkids,rapcore
danko jones,rock
danzig,hard rock
darlia,indie
darshan,psytrance
darude,electronic
dashboard confessional,indie
dave brubeck,piano
dayseeker,metalcore
daði freyr,pop
dead fish,punk rock
dead kennedys,punk rock
dead posey,indie rock
dead sara,alternative rock
death from above,Brasilian D-beat
declan mckenna,indie pop
decyfer down,alternative rock
dee snider,hard rock
deepfield,post-grunge
def leppard,classic rock
default,alternative rock
delain,Gothic Metal
demob happy,Grunge
demon hunter,metal
der baum,brazil
desakato,rock
descendents,punk rock
devilskin,New Zealand
dibob,brazil
dick dale,Surf
dinosaur pile-up,indie rock
dirty honey,blues rock
dirty loops,Fusion
disaster cities,alternative
discharge,d-beat
discrepancies,alternative rock
disturbed,Nu Metal
don broco,post-hardcore
dona cislene,hardcore
dope,Nu Metal
doro,hard rock
dorothy,hard rock
downplay,post-grunge
downset,rapcore
dr. saxlove,instrumental
drag me out,zoophile
dragged under,metalcore
dragonforce,speed metal
dream state,piano rock
